Comment,Designator,Footprint,LCSC Part #
.001,R8 R9,R1210,
0.1uF,C2 C4,C0603K,
0.1uF,C17,C1206K,
1 uF,C6,C0603K,
1uF,C7 C10,C0402K,
1uF,C22,C0402,
2.2,R6 R7 R10 R11 R12 R13,R0402,
3.3uH,CHOKE,0603,
4.7k,R14 R15,R0402,
4.7uF,C9,C0402K,
10k,R2 R3 R4 R27,R0402,
10uF,C1 C8 C11 C12 C13 C14 C15 C16 C18,C1206K,
22 uF,C3,C0603K,
22uF,C25,C0603K,
22uH,L1,SDR0302,
47 nF,C5,C0402K,
54.9k,R1,R0402,
100nF,C27 C31 C32,C0402K,
100nF,C41,C0402,
100nF,VREFCAP,C0402K,
150k,R26,R0402,
200,R5 R22,R0402,
AON7544,Q7 Q8 Q9 Q10 Q11 Q12,AON7544,
CSTCE,XT1,CSTCE,
DRV8323RH,DRV1,QFN50P700X700X90-49N,
LD39050PUR,U3,SON95P300X300X100-7N,
SOD123,D1,SOD123,
STM32F446RET6,U1,TQFP64,
green,D2 D3,0603P,
